Date,Average of Water heights in meter,Station,Name of river,Subdistrict,District,Province
2022-01-03,5.08,Ban Huai Pa Sang,น้ำแม่แตง,กึ๊ดช้าง,แม่แตง,เชียงใหม่
2022-01-03,9.74,Ban Huai Sak,แม่น้ำยม,เตาปูน,สอง,แพร่
2022-01-03,6.14,Ban Klang,น้ำแม่ขาน,บ้านกลาง,สันป่าตอง,เชียงใหม่
2022-01-03,3.25,Ban Ko Kha,แม่น้ำวัง,ศาลา,เกาะคา,ลำปาง
2022-01-03,4.51,Ban Krariang Tung Phrao,น้ำแม่สรวย,วาวี,แม่สรวย,เชียงราย
2022-01-03,-3.075,Ban Lai Kaeo,น้ำแม่ลี้,ศรีเตี้ย,บ้านโฮ่ง,ลำพูน
2022-01-03,6.67,Ban Luang,น้ำแม่ตื่น,ยางเปียง,อมก๋อย,เชียงใหม่
2022-01-03,3.89125,Ban Luang Nuea,น้ำงาว,หลวงใต้,งาว,ลำปาง
2022-01-03,6.727083333,Ban Mae E Hi,น้ำแม่ลี้,ศรีวิชัย,ลี้,ลำพูน
2022-01-03,4.87,Ban Mae Kha Bridge,น้ำฝาง,แม่ข่า,ฝาง,เชียงใหม่
2022-01-03,5.24,Ban Mae Khom Mi Tamnak Tham,น้ำแม่คำมี,ตำหนักธรรม,หนองม่วงไข่,แพร่
2022-01-03,5.91,Ban Mae Lai,น้ำแม่หล่าย,แม่หล่าย,เมือง,แพร่
2022-01-03,1.756666667,Ban Mae Tae,แม่น้ำปิง,แม่แฝกเก่า,สันทราย,เชียงใหม่
2022-01-03,2.48,Ban Mae Taeng,แม่น้ำแตง,สันมหาพล,แม่แตง,เชียงใหม่
2022-01-03,3.54,Ban Mae Wan,น้ำแม่กวง,ป่าเมี่ยง,ดอยสะเก็ด,เชียงใหม่
2022-01-03,5.3,Ban Mai Rim Fang,น้ำฝาง,เวียงฝาง,ฝาง,เชียงใหม่
2022-01-03,7.545,Ban Mang,น้ำปี้,มาง,เชียงม่วน,พะเยา
