Date,Water volume in dams (by %),Name of dam
2022-03-02,39.85,Mae Ngat Somboon Chon Dam
2022-03-02,32.77,Mae Kuang Udom Thara Dam
2022-03-02,67.11,Kiew Lom Dam
2022-03-02,70.74,Kiew Kor Ma Dam
2022-03-02,67.73,Khwae Noi Bamrung Dan Dam
2022-03-02,57.27,Mae Mok Dam
2022-03-03,50.22,Bhumibol Dam
2022-03-03,43.02,Sirikit Dam
2022-03-03,39.77,Mae Ngat Somboon Chon Dam
2022-03-03,32.78,Mae Kuang Udom Thara Dam
2022-03-03,65.98,Kiew Lom Dam
2022-03-03,70.35,Kiew Kor Ma Dam
2022-03-03,67.41,Khwae Noi Bamrung Dan Dam
2022-03-03,57.27,Mae Mok Dam
2022-03-04,50.01,Bhumibol Dam
2022-03-04,42.99,Sirikit Dam
2022-03-04,39.69,Mae Ngat Somboon Chon Dam
2022-03-04,32.78,Mae Kuang Udom Thara Dam
2022-03-04,65.17,Kiew Lom Dam
2022-03-04,69.59,Kiew Kor Ma Dam
2022-03-04,66.99,Khwae Noi Bamrung Dan Dam
2022-03-04,57.27,Mae Mok Dam
2022-03-05,49.81,Bhumibol Dam
2022-03-05,42.93,Sirikit Dam
2022-03-05,39.34,Mae Ngat Somboon Chon Dam
2022-03-05,32.79,Mae Kuang Udom Thara Dam
2022-03-05,65.07,Kiew Lom Dam
2022-03-05,68.82,Kiew Kor Ma Dam
2022-03-05,66.67,Khwae Noi Bamrung Dan Dam
2022-03-05,56.36,Mae Mok Dam
2022-03-06,49.62,Bhumibol Dam
2022-03-06,42.88,Sirikit Dam
2022-03-06,39.34,Mae Ngat Somboon Chon Dam
2022-03-06,32.79,Mae Kuang Udom Thara Dam
2022-03-06,65.02,Kiew Lom Dam
2022-03-06,68.16,Kiew Kor Ma Dam
2022-03-06,66.35,Khwae Noi Bamrung Dan Dam
2022-03-06,56.36,Mae Mok Dam
2022-03-07,49.43,Bhumibol Dam
2022-03-07,42.83,Sirikit Dam
2022-03-07,39.02,Mae Ngat Somboon Chon Dam
2022-03-07,32.8,Mae Kuang Udom Thara Dam
2022-03-07,64.73,Kiew Lom Dam
2022-03-07,67.62,Kiew Kor Ma Dam
2022-03-07,66.03,Khwae Noi Bamrung Dan Dam
2022-03-07,56.36,Mae Mok Dam
2022-03-08,49.23,Bhumibol Dam
2022-03-08,42.78,Sirikit Dam
2022-03-08,39.05,Mae Ngat Somboon Chon Dam
2022-03-08,32.82,Mae Kuang Udom Thara Dam
2022-03-08,64.96,Kiew Lom Dam
2022-03-08,66.96,Kiew Kor Ma Dam
2022-03-08,65.71,Khwae Noi Bamrung Dan Dam
2022-03-08,55.45,Mae Mok Dam
2022-03-09,49.09,Bhumibol Dam
2022-03-09,42.72,Sirikit Dam
2022-03-09,39.03,Mae Ngat Somboon Chon Dam
2022-03-09,32.86,Mae Kuang Udom Thara Dam
2022-03-09,65.52,Kiew Lom Dam
2022-03-09,66.36,Kiew Kor Ma Dam
2022-03-09,65.39,Khwae Noi Bamrung Dan Dam
2022-03-09,55.45,Mae Mok Dam
2022-03-10,48.93,Bhumibol Dam
2022-03-10,42.67,Sirikit Dam
2022-03-10,38.98,Mae Ngat Somboon Chon Dam
2022-03-10,32.89,Mae Kuang Udom Thara Dam
2022-03-10,66.07,Kiew Lom Dam
2022-03-10,65.76,Kiew Kor Ma Dam
2022-03-10,65.07,Khwae Noi Bamrung Dan Dam
2022-03-10,54.55,Mae Mok Dam
2022-03-11,48.81,Bhumibol Dam
2022-03-11,42.57,Sirikit Dam
2022-03-11,38.93,Mae Ngat Somboon Chon Dam
2022-03-11,32.9,Mae Kuang Udom Thara Dam
2022-03-11,66.65,Kiew Lom Dam
2022-03-11,65.12,Kiew Kor Ma Dam
2022-03-11,64.75,Khwae Noi Bamrung Dan Dam
2022-03-11,54.55,Mae Mok Dam
2022-03-12,48.69,Bhumibol Dam
2022-03-12,42.46,Sirikit Dam
2022-03-12,38.66,Mae Ngat Somboon Chon Dam
2022-03-12,32.91,Mae Kuang Udom Thara Dam
2022-03-12,67.44,Kiew Lom Dam
2022-03-12,64.45,Kiew Kor Ma Dam
2022-03-12,64.43,Khwae Noi Bamrung Dan Dam
2022-03-12,54.55,Mae Mok Dam
