Date,Water volume in dams (by %),Name of dam
2021-02-20,58.09,Kiew Lom Dam
2021-02-20,39.87,Kiew Kor Ma Dam
2021-02-20,37.69,Khwae Noi Bamrung Dan Dam
2021-02-20,36.54,Mae Mok Dam
2021-02-21,37.61,Bhumibol Dam
2021-02-21,48.66,Sirikit Dam
2021-02-21,47.53,Mae Ngat Somboon Chon Dam
2021-02-21,30.36,Mae Kuang Udom Thara Dam
2021-02-21,57.7,Kiew Lom Dam
2021-02-21,39.87,Kiew Kor Ma Dam
2021-02-21,37.64,Khwae Noi Bamrung Dan Dam
2021-02-21,36.54,Mae Mok Dam
2021-02-22,37.51,Bhumibol Dam
2021-02-22,48.54,Sirikit Dam
2021-02-22,47.48,Mae Ngat Somboon Chon Dam
2021-02-22,30.07,Mae Kuang Udom Thara Dam
2021-02-22,57.5,Kiew Lom Dam
2021-02-22,39.87,Kiew Kor Ma Dam
2021-02-22,37.53,Khwae Noi Bamrung Dan Dam
2021-02-22,36.54,Mae Mok Dam
2021-02-23,37.45,Bhumibol Dam
2021-02-23,48.37,Sirikit Dam
2021-02-23,47.38,Mae Ngat Somboon Chon Dam
2021-02-23,29.85,Mae Kuang Udom Thara Dam
2021-02-23,57.2,Kiew Lom Dam
2021-02-23,39.79,Kiew Kor Ma Dam
2021-02-23,37.43,Khwae Noi Bamrung Dan Dam
2021-02-23,36.54,Mae Mok Dam
2021-02-24,37.39,Bhumibol Dam
2021-02-24,48.22,Sirikit Dam
2021-02-24,47.27,Mae Ngat Somboon Chon Dam
2021-02-24,29.81,Mae Kuang Udom Thara Dam
2021-02-24,57,Kiew Lom Dam
2021-02-24,39.63,Kiew Kor Ma Dam
2021-02-24,37.33,Khwae Noi Bamrung Dan Dam
2021-02-24,36.37,Mae Mok Dam
2021-02-25,37.33,Bhumibol Dam
2021-02-25,48.07,Sirikit Dam
2021-02-25,47.16,Mae Ngat Somboon Chon Dam
2021-02-25,29.73,Mae Kuang Udom Thara Dam
2021-02-25,56.96,Kiew Lom Dam
2021-02-25,39.46,Kiew Kor Ma Dam
2021-02-25,37.2,Khwae Noi Bamrung Dan Dam
2021-02-25,36.37,Mae Mok Dam
2021-02-26,37.28,Bhumibol Dam
2021-02-26,47.92,Sirikit Dam
2021-02-26,46.78,Mae Ngat Somboon Chon Dam
2021-02-26,29.64,Mae Kuang Udom Thara Dam
2021-02-26,56.96,Kiew Lom Dam
2021-02-26,39.31,Kiew Kor Ma Dam
2021-02-26,37.05,Khwae Noi Bamrung Dan Dam
2021-02-26,36.37,Mae Mok Dam
2021-02-27,37.23,Bhumibol Dam
2021-02-27,47.75,Sirikit Dam
2021-02-27,46.28,Mae Ngat Somboon Chon Dam
2021-02-27,29.49,Mae Kuang Udom Thara Dam
2021-02-27,56.96,Kiew Lom Dam
2021-02-27,39.11,Kiew Kor Ma Dam
2021-02-27,36.87,Khwae Noi Bamrung Dan Dam
2021-02-27,36.37,Mae Mok Dam
2021-02-28,37.17,Bhumibol Dam
2021-02-28,47.6,Sirikit Dam
2021-02-28,46.12,Mae Ngat Somboon Chon Dam
2021-02-28,29.21,Mae Kuang Udom Thara Dam
2021-02-28,56.96,Kiew Lom Dam
2021-02-28,38.98,Kiew Kor Ma Dam
2021-02-28,36.74,Khwae Noi Bamrung Dan Dam
2021-02-28,36.29,Mae Mok Dam
2021-03-01,37.13,Bhumibol Dam
2021-03-01,47.46,Sirikit Dam
2021-03-01,46.08,Mae Ngat Somboon Chon Dam
2021-03-01,28.9,Mae Kuang Udom Thara Dam
2021-03-01,56.96,Kiew Lom Dam
2021-03-01,38.82,Kiew Kor Ma Dam
2021-03-01,36.61,Khwae Noi Bamrung Dan Dam
2021-03-01,36.21,Mae Mok Dam
2021-03-02,37.07,Bhumibol Dam
2021-03-02,47.31,Sirikit Dam
2021-03-02,45.97,Mae Ngat Somboon Chon Dam
2021-03-02,28.61,Mae Kuang Udom Thara Dam
2021-03-02,57.01,Kiew Lom Dam
2021-03-02,38.62,Kiew Kor Ma Dam
2021-03-02,36.54,Khwae Noi Bamrung Dan Dam
2021-03-02,36.13,Mae Mok Dam
2021-03-03,37,Bhumibol Dam
2021-03-03,47.16,Sirikit Dam
2021-03-03,45.86,Mae Ngat Somboon Chon Dam
2021-03-03,28.33,Mae Kuang Udom Thara Dam
2021-03-03,57.11,Kiew Lom Dam
2021-03-03,38.5,Kiew Kor Ma Dam
2021-03-03,36.46,Khwae Noi Bamrung Dan Dam
2021-03-03,36.13,Mae Mok Dam
2021-03-04,36.94,Bhumibol Dam
2021-03-04,47.01,Sirikit Dam
2021-03-04,45.76,Mae Ngat Somboon Chon Dam
2021-03-04,28.05,Mae Kuang Udom Thara Dam
2021-03-04,57.06,Kiew Lom Dam
2021-03-04,38.3,Kiew Kor Ma Dam
2021-03-04,36.36,Khwae Noi Bamrung Dan Dam
2021-03-04,36.05,Mae Mok Dam
2021-03-05,36.89,Bhumibol Dam
2021-03-05,46.86,Sirikit Dam
2021-03-05,44.9,Mae Ngat Somboon Chon Dam
2021-03-05,27.77,Mae Kuang Udom Thara Dam
2021-03-05,57.11,Kiew Lom Dam
2021-03-05,38.26,Kiew Kor Ma Dam
2021-03-05,36.26,Khwae Noi Bamrung Dan Dam
2021-03-05,36.05,Mae Mok Dam
2021-03-06,36.81,Bhumibol Dam
