province,district,subdistrict,moo,Situation_Date,End Disaster Date,,,
จังหวัด,อำเภอ,ตำบล,หมู่ที่,วันที่เกิดสถานการณ์,วันที่ประกาศยุติสถานการณ์,,,
กรุงเทพมหานคร,บางเขน,แขวงอนุสาวรีย์,,6-ก.ย.-65,,,,
กรุงเทพมหานคร,บางคอแหลม,แขวงบางคอแหลม,,22-ก.ย.-65,,,,
กรุงเทพมหานคร,บางคอแหลม,แขวงบางโคล่,,22-ก.ย.-65,,,,
กรุงเทพมหานคร,บางแค,แขวงบางแค,,20-ก.ค.-65,,,,
กรุงเทพมหานคร,บางแค,แขวงบางแค,,22-ก.ย.-65,,,,
กรุงเทพมหานคร,บางแค,แขวงบางแคเหนือ,,20-ก.ค.-65,,,,
กรุงเทพมหานคร,บางแค,แขวงหลักสอง,,22-ก.ย.-65,,,,
กรุงเทพมหานคร,บางซื่อ,แขวงบางซื่อ,,17-พ.ค.-65,,,,
กรุงเทพมหานคร,บางนา,แขวงบางนา,,18-ก.ย.-65,,,,
กรุงเทพมหานคร,บางนา,แขวงบางนา,,22-ก.ย.-65,,,,
กรุงเทพมหานคร,บางบอน,แขวงบางบอน,,20-ก.ค.-65,,,,
กรุงเทพมหานคร,บึงกุ่ม,แขวงคลองกุ่ม,,20-ก.ค.-65,,,,
กรุงเทพมหานคร,ประเวศ,แขวงดอกไม้,,15-ส.ค.-65,20-ต.ค.-65,,,
กรุงเทพมหานคร,ประเวศ,แขวงดอกไม้,,8-ก.ย.-65,2-ธ.ค.-65,,,
กรุงเทพมหานคร,ประเวศ,แขวงดอกไม้,,17-ก.ย.-65,,,,
กรุงเทพมหานคร,ประเวศ,แขวงดอกไม้,,18-ก.ย.-65,,,,
กรุงเทพมหานคร,ประเวศ,แขวงประเวศ,,15-ส.ค.-65,20-ต.ค.-65,,,
กรุงเทพมหานคร,ประเวศ,แขวงประเวศ,,8-ก.ย.-65,2-ธ.ค.-65,,,
กรุงเทพมหานคร,ประเวศ,แขวงประเวศ,,17-ก.ย.-65,,,,
กรุงเทพมหานคร,ประเวศ,แขวงหนองบอน,,8-ก.ย.-65,2-ธ.ค.-65,,,
กรุงเทพมหานคร,ประเวศ,แขวงหนองบอน,,17-ก.ย.-65,,,,
กรุงเทพมหานคร,พญาไท,แขวงสามเสนใน,,17-พ.ค.-65,,,,
กรุงเทพมหานคร,พญาไท,แขวงสามเสนใน,,6-ก.ย.-65,,,,
กรุงเทพมหานคร,พระโขนง,แขวงบางจาก,,22-ก.ย.-65,,,,
กรุงเทพมหานคร,มีนบุรี,แขวงมีนบุรี,,8-ก.ย.-65,24-พ.ย.-65,,,
กรุงเทพมหานคร,มีนบุรี,แขวงแสนแสบ,,8-ก.ย.-65,24-พ.ย.-65,,,
กรุงเทพมหานคร,มีนบุรี,แขวงแสนแสบ,,17-ก.ย.-65,,,,
กรุงเทพมหานคร,ราชเทวี,แขวงถนนพญาไท,,17-พ.ค.-65,,,,
กรุงเทพมหานคร,ราชเทวี,แขวงถนนเพชรบุรี,,6-ก.ย.-65,,,,
กรุงเทพมหานคร,ราชเทวี,แขวงทุ่งพญาไท,,17-พ.ค.-65,,,,
กรุงเทพมหานคร,ราชเทวี,แขวงทุ่งพญาไท,,6-ก.ย.-65,,,,
กรุงเทพมหานคร,ราชเทวี,แขวงมักกะสัน,,20-ก.ค.-65,,,,
กรุงเทพมหานคร,ลาดกระบัง,แขวงขุมทอง,,8-ก.ย.-65,,,,
กรุงเทพมหานคร,ลาดกระบัง,แขวงคลองสองต้นนุ่น,,8-ก.ย.-65,,,,
กรุงเทพมหานคร,ลาดกระบัง,แขวงคลองสองต้นนุ่น,,22-ก.ย.-65,,,,
กรุงเทพมหานคร,ลาดกระบัง,แขวงคลองสามประเวศ,,8-ก.ย.-65,,,,
กรุงเทพมหานคร,ลาดกระบัง,แขวงคลองสามประเวศ,,17-ก.ย.-65,,,,
กรุงเทพมหานคร,ลาดกระบัง,แขวงคลองสามประเวศ,,18-ก.ย.-65,,,,
กรุงเทพมหานคร,ลาดกระบัง,แขวงทับยาว,,8-ก.ย.-65,,,,
กรุงเทพมหานคร,ลาดกระบัง,แขวงทับยาว,,17-ก.ย.-65,,,,
กรุงเทพมหานคร,ลาดกระบัง,แขวงลาดกระบัง,,8-ก.ย.-65,,,,
กรุงเทพมหานคร,ลาดกระบัง,แขวงลาดกระบัง,,17-ก.ย.-65,,,,
กรุงเทพมหานคร,ลาดกระบัง,แขวงลาดกระบัง,,18-ก.ย.-65,,,,
กรุงเทพมหานคร,ลาดกระบัง,แขวงลำปลาทิว,,15-ส.ค.-65,20-ต.ค.-65,,,
กรุงเทพมหานคร,ลาดกระบัง,แขวงลำปลาทิว,,8-ก.ย.-65,,,,
กรุงเทพมหานคร,ลาดกระบัง,แขวงลำปลาทิว,,17-ก.ย.-65,,,,
กรุงเทพมหานคร,วังทองหลาง,คลองเจ้าคุณสิงห์,,20-ก.ค.-65,,,,
กรุงเทพมหานคร,วังทองหลาง,พลับพลา,,20-ก.ค.-65,,,,
กรุงเทพมหานคร,วัฒนา,แขวงคลองตันเหนือ,,17-พ.ค.-65,,,,
กรุงเทพมหานคร,วัฒนา,แขวงคลองตันเหนือ,,20-ก.ค.-65,,,,
กรุงเทพมหานคร,วัฒนา,แขวงคลองตันเหนือ,,6-ก.ย.-65,,,,
กรุงเทพมหานคร,วัฒนา,แขวงคลองเตยเหนือ,,20-ก.ค.-65,,,,
กรุงเทพมหานคร,วัฒนา,แขวงคลองเตยเหนือ,,6-ก.ย.-65,,,,
กรุงเทพมหานคร,สวนหลวง,แขวงสวนหลวง,,15-ส.ค.-65,20-ต.ค.-65,,,
กรุงเทพมหานคร,สะพานสูง,แขวงสะพานสูง,,20-ก.ค.-65,,,,
กรุงเทพมหานคร,สะพานสูง,แขวงสะพานสูง,,17-ก.ย.-65,,,,
กรุงเทพมหานคร,สาทร,แขวงทุ่งมหาเมฆ,,20-ก.ค.-65,,,,
กรุงเทพมหานคร,สาทร,แขวงทุ่งวัดดอน,,20-ก.ค.-65,,,,
กรุงเทพมหานคร,สาทร,แขวงยานนาวา,,20-ก.ค.-65,,,,
กรุงเทพมหานคร,หนองแขม,แขวงหนองแขม,,22-ก.ย.-65,,,,
กรุงเทพมหานคร,หนองแขม,แขวงหนองค้างพลู,,22-ก.ย.-65,,,,
กรุงเทพมหานคร,หนองจอก,แขวงกระทุ่มราย,,8-ก.ย.-65,2-ธ.ค.-65,,,
กรุงเทพมหานคร,หนองจอก,แขวงคลองสิบ,,8-ก.ย.-65,2-ธ.ค.-65,,,
กรุงเทพมหานคร,หนองจอก,แขวงคลองสิบสอง,,8-ก.ย.-65,2-ธ.ค.-65,,,
กรุงเทพมหานคร,หนองจอก,แขวงคู้ฝั่งเหนือ,,8-ก.ย.-65,2-ธ.ค.-65,,,
กรุงเทพมหานคร,หนองจอก,แขวงโคกแฝด,,8-ก.ย.-65,2-ธ.ค.-65,,,
กรุงเทพมหานคร,หนองจอก,แขวงโคกแฝด,,18-ก.ย.-65,,,,
กรุงเทพมหานคร,หนองจอก,แขวงลำต้อยติ่ง,,8-ก.ย.-65,2-ธ.ค.-65,,,
กรุงเทพมหานคร,หนองจอก,แขวงลำต้อยติ่ง,,17-ก.ย.-65,,,,
กรุงเทพมหานคร,หนองจอก,แขวงลำต้อยติ่ง,,18-ก.ย.-65,,,,
กรุงเทพมหานคร,หนองจอก,แขวงลำผักชี,,8-ก.ย.-65,2-ธ.ค.-65,,,
กรุงเทพมหานคร,หนองจอก,แขวงลำผักชี,,17-ก.ย.-65,,,,
กรุงเทพมหานคร,หนองจอก,แขวงลำผักชี,,18-ก.ย.-65,,,,
กรุงเทพมหานคร,หนองจอก,แขวงลำผักชี,,22-ก.ย.-65,,,,
กรุงเทพมหานคร,หนองจอก,แขวงหนองจอก,,8-ก.ย.-65,2-ธ.ค.-65,,,
กรุงเทพมหานคร,หลักสี่,แขวงทุ่งสองห้อง,,17-พ.ค.-65,,,,
กรุงเทพมหานคร,หลักสี่,แขวงทุ่งสองห้อง,,6-ก.ย.-65,,,,
กรุงเทพมหานคร รวม,33,68,0,,,,,
กาญจนบุรี,ด่านมะขามเตี้ย,กลอนโด,1,10-ต.ค.-65,,,,
กาญจนบุรี,ด่านมะขามเตี้ย,กลอนโด,2,10-ต.ค.-65,,,,
กาญจนบุรี,ด่านมะขามเตี้ย,กลอนโด,3,10-ต.ค.-65,,,,
กาญจนบุรี,ด่านมะขามเตี้ย,กลอนโด,4,10-ต.ค.-65,,,,
กาญจนบุรี,ด่านมะขามเตี้ย,กลอนโด,5,10-ต.ค.-65,,,,
กาญจนบุรี,ด่านมะขามเตี้ย,กลอนโด,6,10-ต.ค.-65,,,,
กาญจนบุรี,ด่านมะขามเตี้ย,กลอนโด,7,10-ต.ค.-65,,,,
กาญจนบุรี,ด่านมะขามเตี้ย,กลอนโด,8,10-ต.ค.-65,,,,
กาญจนบุรี,ด่านมะขามเตี้ย,กลอนโด,9,10-ต.ค.-65,,,,
กาญจนบุรี,ด่านมะขามเตี้ย,กลอนโด,10,10-ต.ค.-65,,,,
